inventory number,description,"serial, number",date acquired,vendor,cost,value
64,"Coconut - Creamed, Pure",32OVZ8987T53XHR8,8/9/2018,Hane-McLaughlin,$1.66,$10.89
78,Steamers White,EJ2U25GS1B4947I5,8/9/2018,"Tremblay, Walker and Veum",$9.95,$20.89
22,Tea - Mint,488782Y69JFNQAQ9,8/8/2018,"Sawayn, Erdman and Sporer",$5.91,$13.44
41,Salmon - Canned,MGY262R92C456J18,8/8/2018,Thompson and Sons,$0.98,$19.31
35,Muffin Mix - Morning Glory,484LBE3PI534Y7Q2,8/9/2018,Lakin-Herzog,$1.31,$22.13
84,Squash - Acorn,4SEFOI16M0I0B032,8/8/2018,Heidenreich-Renner,$1.52,$17.01
11,Bar Special K,9V43PH9ELJ79ZS01,8/8/2018,Osinski LLC,$8.35,$19.75
45,Soup Campbells Beef With Veg,4Y0TV5AP986C4342,8/8/2018,Blick-Crist,$8.54,$20.33
14,Orange - Tangerine,X8153LVAB1428YZ9,8/9/2018,"Heaney, Rowe and Trantow",$0.94,$15.80
94,"Pasta - Fusili, Dry",AJJBTIBA16166HWZ,8/8/2018,Gottlieb Group,$5.47,$15.31
77,Beef - Cow Feet Split,9K21YLA0K07HOY36,8/9/2018,Mueller LLC,$9.41,$14.12
3,Mushroom - Lg - Cello,K2GVLOH841ADGQ46,8/9/2018,"Rosenbaum, Hoeger and Aufderhar",$8.10,$18.78
5,Bread - Wheat Baguette,8IB241Z68IAEY0OY,8/9/2018,Ruecker and Sons,$2.52,$17.47
11,Beer - Corona,08FQC419SLAQMQS0,8/7/2018,"Kris, Berge and Ullrich",$2.87,$20.50
9,"Pork - Tenderloin, Fresh",OTFMTV2ON399XHVC,8/7/2018,Rippin-Ortiz,$1.31,$14.86
59,Spinach - Packaged,8E6QZ5K95P0LTF8V,8/8/2018,Durgan-Quigley,$8.17,$16.84
93,Pumpkin,346B8LXQ31DX1YZ7,8/9/2018,Pfannerstill-Legros,$1.39,$15.86
40,Pork - Smoked Kassler,KZ24SDS09RI02DF2,8/7/2018,Mueller Inc,$4.69,$13.80
25,Salad Dressing,2I071G8S4S4094H6,8/7/2018,Beer Group,$1.36,$19.34
66,Flour - Rye,MIM550CCHS39IUF2,8/9/2018,"Ratke, Bartoletti and Zboncak",$9.87,$11.61
31,Fond - Neutral,6TKAOPZBWRU9Z7J1,8/7/2018,Mills Inc,$0.58,$12.57
35,"Wine - Red, Concha Y Toro",RLWL1MR5BU64WL4L,8/8/2018,Cremin Group,$4.11,$17.30
11,Bread - Flat Bread,L484XSN7SKXEGS58,8/8/2018,Huel-Feeney,$3.93,$24.90
23,"Cheese - Boursin, Garlic / Herbs",37H24RD7AQ937027,8/7/2018,Murphy-Labadie,$7.13,$13.68
20,Wine - Barbera Alba Doc 2001,J9M0O09T78L13824,8/9/2018,Weissnat and Sons,$9.64,$19.52
25,Cream - 18%,2535USB3JN307AOL,8/9/2018,Anderson Group,$7.64,$16.45
45,Olives - Nicoise,6BC6EE60U380ZT43,8/9/2018,Lehner LLC,$5.48,$18.92
98,Wine - Barossa Valley Estate,51B77AJYC1MTL4C2,8/9/2018,Reynolds-Waters,$7.84,$22.82
88,Wiberg Cure,20L54V2PX0K2FPY4,8/7/2018,Sauer-Medhurst,$4.11,$12.02
86,Fiddlehead - Frozen,W7V69D8X1P739I19,8/8/2018,Gorczany-Gorczany,$3.37,$11.72
78,"Ecolab - Orange Frc, Cleaner",46PZE26EUNN71Q36,8/9/2018,Hahn-Emmerich,$9.86,$24.81
20,Cloves - Ground,3RLCRSIJ9M5458P6,8/8/2018,Bernhard Group,$9.25,$16.69
35,Bread - Olive Dinner Roll,57DXTMGMEB7O63N8,8/9/2018,Kozey-Lind,$5.92,$17.02
75,"Pasta - Lasagna Noodle, Frozen",PP3X1H5UO77AU4Y8,8/8/2018,Howell-Konopelski,$6.95,$22.69
66,Lamb - Shoulder,3YD8UK9O61AF800T,8/8/2018,Fay LLC,$4.63,$23.73
35,"Beans - Black Bean, Dry",837F944S6O4F42T0,8/9/2018,Pfannerstill Group,$7.55,$13.56
30,Appetizer - Shrimp Puff,IM7E806OQHDP34Z9,8/7/2018,"Dare, Schinner and Ebert",$7.48,$13.93
90,Wine - Sogrape Mateus Rose,T3D69MQAQ592T65Z,8/8/2018,Weimann-Nicolas,$9.62,$15.26
100,Mussels - Frozen,8710JC89M295999T,8/9/2018,Huel-Hodkiewicz,$8.09,$18.91
52,Wine - Sauvignon Blanc,F0768LBWA4JESVZN,8/8/2018,Ziemann-Carroll,$5.87,$12.18
24,Beets,059AY6NX3EY2Y7U2,8/7/2018,"Prosacco, Kohler and Sauer",$5.52,$13.55
26,"Pepper - Black, Crushed",X6529XQ9L1FN1VVI,8/9/2018,Swift-Prohaska,$7.18,$22.94
15,"Onions - Dried, Chopped",NOJ8U0571D0YV0N8,8/9/2018,Moen Inc,$4.75,$23.57
63,Sauce Tomato Pouch,3T16H656SNNCYW19,8/8/2018,Kautzer-Hartmann,$3.93,$24.92
71,Ecolab - Hobart Upr Prewash Arm,1U6H7N1SIILTR995,8/9/2018,Moen-Conn,$5.36,$14.27
68,Coffee - Flavoured,9YPY8BPMTBCRV172,8/8/2018,Wyman-McClure,$2.54,$18.72
98,"Jam - Strawberry, 20 Ml Jar",PWVA45X8MSV2SX25,8/7/2018,Hoeger-Powlowski,$3.67,$19.35
3,Wine - Tio Pepe Sherry Fino,JTY1Z3238S6NSX3Y,8/8/2018,Vandervort Inc,$8.64,$12.13
72,Rabbit - Legs,84EV2770X1G3X6ZJ,8/8/2018,Cartwright Inc,$3.20,$10.22
19,Oil - Pumpkinseed,8IU715USW3G63351,8/8/2018,"Pacocha, Rowe and Jerde",$5.67,$12.91
97,Chinese Foods - Chicken,083MW87L4AGVJ9T1,8/9/2018,"Fritsch, Abbott and Kreiger",$0.14,$16.82
7,Mussels - Cultivated,901TQ8G167QU866T,8/9/2018,Grady-Balistreri,$4.79,$23.59
54,Hot Chocolate - Individual,9Q5TQYBX9U91D23H,8/7/2018,Kemmer-Upton,$6.39,$17.94
98,Squid - U 5,72352A099NODL7HU,8/8/2018,"Senger, Monahan and Adams",$1.18,$24.61
34,Port - 74 Brights,POZSOE6K643T2131,8/7/2018,Brakus Inc,$6.34,$24.34
2,Bread - Ciabatta Buns,H6EMF372PX820K45,8/8/2018,"Torphy, Rutherford and Simonis",$2.10,$11.25
60,"Tomatoes - Plum, Canned",435E6258112VBU3G,8/9/2018,Kuhlman-Tremblay,$9.08,$18.72
49,Bread - 10 Grain Parisian,IEQ63MU5SE62HB5W,8/9/2018,Paucek LLC,$0.89,$22.76
98,Flour - Masa De Harina Mexican,A65R7I30VY9SMYW9,8/7/2018,"Parker, Conroy and Murphy",$1.89,$17.48
39,Cafe Royale,LDCWDWS3J746NTO4,8/9/2018,"Haag, Daniel and Krajcik",$0.12,$15.84
82,"Beef - Rib Roast, Capless",QAU895UQ8K2P2DG0,8/7/2018,Abbott LLC,$9.92,$12.69
38,Bread - French Stick,AUHWH892L9E8884Z,8/7/2018,Hane-Schaden,$0.80,$21.49
99,"Peas - Pigeon, Dry",SWRA6FX5KV3MRZ2T,8/8/2018,Wuckert-Leffler,$4.08,$13.55
46,Beef - Shank,U7YG5DWAUR0H7V8B,8/9/2018,Altenwerth-Botsford,$4.36,$17.66
19,Cheese - Colby,X7WF3B74510M70ZE,8/7/2018,Hoeger Group,$9.50,$21.31
63,Kiwano,632MU92956EI6S2I,8/7/2018,Metz-Halvorson,$5.32,$19.05
97,Beef - Top Butt,R3IP0SS1T6XNU530,8/8/2018,Rempel-Hauck,$7.14,$18.27
92,"Beef - Bones, Marrow",AFRR60X5UGYA3WZ5,8/9/2018,"Green, Stiedemann and Beer",$5.63,$24.52
78,"Butter - Salted, Micro",7I09N4T2NN8831C7,8/8/2018,"Boyer, Treutel and Terry",$8.05,$14.86
96,Tofu - Firm,UC3471G986YW6UPS,8/9/2018,Schmeler and Sons,$5.48,$21.10
3,Soup - Campbells Mac N Cheese,G4WZN94P21YCEDW0,8/8/2018,"Mosciski, Crooks and Prohaska",$0.59,$21.51
15,Bag - Clear 7 Lb,B76SEEVHXW60AL5X,8/7/2018,Murazik and Sons,$3.81,$18.99
39,Ecolab - Hobart Upr Prewash Arm,LWJHB95X0877GIKB,8/8/2018,Feest-Hoeger,$4.98,$23.11
33,Cardamon Seed / Pod,G907SOE23U0GC4V0,8/9/2018,"Runte, Jenkins and Treutel",$7.62,$10.72
74,Coffee - Decafenated,960K8CU37481T4NT,8/7/2018,"Ledner, Collier and Kuvalis",$5.98,$22.41
79,Water - Evian 355 Ml,RN2XOV9CM15286Q2,8/8/2018,Langworth-Eichmann,$1.92,$16.43
58,Mace Ground,H7Z9JWY04Y4RE3K2,8/7/2018,Buckridge-Schultz,$8.66,$12.28
27,Tequila - Sauza Silver,6AQR70Q538UUYM7T,8/7/2018,"Wunsch, Bogisich and Welch",$3.67,$11.63
15,Lamb Rack Frenched Australian,54161PGLY18W87A4,8/9/2018,Nienow-Aufderhar,$8.22,$14.58
84,"Crab - Claws, Snow 16 - 24",291395QA2WQVFQ9Q,8/8/2018,"Miller, Zieme and Dare",$8.93,$15.29
49,Oil - Macadamia,9YKFUPM5Q50PJD18,8/9/2018,"Mann, Sawayn and Schowalter",$3.17,$17.17
90,Wine - Rosso Del Veronese Igt,J29DOCX224579Z4Y,8/9/2018,Muller-O'Kon,$0.38,$17.90
90,Beer - Maudite,39C411A1B3PGCXV2,8/9/2018,Jerde Inc,$7.21,$23.58
71,Fiddlehead - Frozen,UR2DAM7MDM2G2H53,8/8/2018,Block LLC,$1.54,$19.42
28,Pepperoni Slices,KN4566647H9QUN2A,8/9/2018,"Crist, Gutkowski and Veum",$7.86,$22.93
70,"Salmon - Atlantic, Fresh, Whole",S56T77D0B740M4Y8,8/8/2018,"Blick, Jacobson and Koepp",$5.13,$23.78
7,Food Colouring - Blue,UC0Z0P2V8Y4V4R0W,8/9/2018,Pfeffer LLC,$1.71,$18.60
39,"Lamb - Leg, Boneless",13XBAW5168IX281K,8/8/2018,Ebert-Hammes,$6.08,$19.96
80,Broom Handle,9IY85E4R1L8N7H1T,8/7/2018,Schmitt and Sons,$1.37,$18.95
75,Slt - Individual Portions,XLMNX2U21HV8Y3Y4,8/7/2018,O'Conner Group,$0.88,$20.48
66,"Nut - Hazelnut, Ground, Natural",00NJ19V729595OKW,8/8/2018,Marquardt-Friesen,$9.63,$15.23
26,Flour - Cake,Y97QR5BY51ZCT78V,8/8/2018,"Sauer, Barton and Batz",$7.00,$16.59
61,"Crush - Orange, 355ml",4F8SUFO37681U30S,8/9/2018,Schaden Inc,$8.08,$23.97
32,Relish,Q4973ZI169J887N7,8/8/2018,Graham LLC,$0.80,$18.89
6,Icecream Bar - Del Monte,24MFR85O4QQOW5CV,8/9/2018,Rodriguez-Reilly,$7.21,$11.94
51,Veal - Leg,B02V00I82EN4TNOS,8/8/2018,Cummings LLC,$5.29,$12.60
76,"Wine - Cahors Ac 2000, Clos",F63N35S3NE267IBR,8/8/2018,Wyman-Hudson,$7.95,$20.68
75,Napkin - Beverage 1 Ply,A08DLY3K21P7N905,8/7/2018,Jacobi-Leannon,$4.01,$15.52
7,Tea - Vanilla Chai,XWV03JB860KZ5UQ9,8/9/2018,Lubowitz Inc,$4.78,$23.66
93,"Stock - Chicken, White",7A2X56N06H9M0LGH,8/8/2018,"Rohan, Sanford and Goldner",$4.27,$20.82
89,Coffee - Decaffeinato Coffee,AXL7DVAJED4VQ723,8/8/2018,"Kuphal, Lebsack and Streich",$2.02,$17.93
41,Orange Roughy 6/8 Oz,3U352XH64MCGQZ4V,8/9/2018,"Parisian, Ullrich and Haag",$4.02,$20.93
25,Cookies Almond Hazelnut,8BXPJ920B884S26K,8/8/2018,"Hettinger, Little and Cummings",$6.97,$22.65
65,"Pepper - Red, Finger Hot",EJB5ADUQKMKEGP6G,8/7/2018,"Shanahan, Koelpin and Wolff",$5.51,$11.69
52,Scotch - Queen Anne,1EWL9271V9OAAYP2,8/9/2018,Veum Group,$1.86,$17.50
67,Frangelico,9HC9X923MW048O1J,8/9/2018,"Mante, Marvin and O'Conner",$6.72,$18.49
52,Cherries - Frozen,3P459O97L051017T,8/9/2018,"Waters, Kessler and Miller",$8.25,$11.27
1,Creme De Banane - Marie,PMK15GEPOYSGWSZ7,8/7/2018,"Schroeder, Stamm and Turner",$7.83,$22.72
11,Olives - Morracan Dired,A0J4GOLDZP73OKYV,8/8/2018,Mills-Crooks,$7.28,$20.68
42,Olive - Spread Tapenade,JXI19LE3W39Q86BD,8/8/2018,"Boehm, Bernier and Rippin",$6.46,$12.94
91,"Cheese - Cheddar, Medium",KJ36K70FTBWGQ5D5,8/9/2018,"Gusikowski, Hettinger and Wolf",$7.88,$23.44
87,Bread - Onion Focaccia,DIKN755DH3I29378,8/9/2018,"Marquardt, Jacobs and Rau",$5.15,$24.29
49,Butter Sweet,H54K94OINIMEM8Y1,8/7/2018,"Kub, Sipes and Cummerata",$0.04,$15.53
55,Lemon Tarts,44BQFD6TGY04QJPI,8/9/2018,Rohan Group,$1.02,$13.47
60,Lychee,APYW7G5AP3S8ULJV,8/9/2018,"Thiel, Lemke and Casper",$3.30,$11.14
37,"Pork - Butt, Boneless",JKP62824X4Y44Z7Z,8/8/2018,"Bode, Gaylord and Skiles",$0.56,$19.68
10,Soup - Campbells Broccoli,48O1I1SW61W62S06,8/8/2018,"Bruen, Kuvalis and Russel",$9.64,$21.45
41,"Lid - 10,12,16 Oz",L41494LMJ9NL7NGR,8/7/2018,Cole-Kulas,$6.84,$24.27
78,Coffee Cup 12oz 5342cd,0EBH5520T26RO8GZ,8/9/2018,Bernhard and Sons,$8.48,$19.66
80,Bread - Sour Sticks With Onion,9CV47993E28H2XS0,8/8/2018,Bruen Group,$6.41,$12.62
46,Sour Puss Sour Apple,TR9OM2O99P9YIWMQ,8/8/2018,Olson Inc,$3.24,$21.23
72,Milk - Homo,G832F76V78H4ZAIT,8/9/2018,Sporer-McCullough,$4.20,$14.79
93,External Supplier,03TFB3BHV74JBUX6,8/9/2018,Jacobson-Marks,$5.96,$16.93
49,Horseradish - Prepared,3WR8R2892J17DFGL,8/8/2018,Deckow-Gottlieb,$5.92,$24.30
95,Mustard - Individual Pkg,23G97K2HX6IRF845,8/9/2018,"Cummings, Schowalter and Waelchi",$6.34,$21.31
62,Pastry - Cheese Baked Scones,5E8LMJT89E4VA2U6,8/9/2018,"Emard, McLaughlin and Zulauf",$6.04,$10.63
71,Cattail Hearts,4MM7D1HM47O723W9,8/7/2018,Jacobs Group,$3.73,$20.32
54,Juice - Mango,39OBF7RYDKX5G249,8/9/2018,Raynor-Kovacek,$8.15,$17.12
41,Milk - 1%,N4M63JAS56SJG1FJ,8/7/2018,Hudson-Hickle,$9.77,$23.99
48,"Wine - Red, Pelee Island Merlot",H64SZ09QHI264WN9,8/7/2018,"Streich, Jones and Bernhard",$8.35,$11.09
26,"Salmon - Atlantic, Fresh, Whole",Y91HNK4D9929P7B3,8/9/2018,Sporer-Bayer,$5.26,$10.05
82,Greens Mustard,1WNKMNB4804A504G,8/9/2018,Keebler and Sons,$2.86,$14.64
9,Wine - Cava Aria Estate Brut,S255UDIOOHW5L89G,8/8/2018,"Rogahn, Keeling and Jakubowski",$3.29,$16.19
95,"Liners - Banana, Paper",10OWHZW06RW8RBU3,8/7/2018,Lueilwitz and Sons,$2.32,$16.33
48,Flour - So Mix Cake White,VVS193G648E64G0C,8/8/2018,Jacobi-Sanford,$7.60,$17.20
8,Eel Fresh,KW1MC2P0T1ML2M4W,8/9/2018,Witting LLC,$3.32,$19.14
81,Tart - Butter Plain Squares,H41E722EQ5ZI5R29,8/9/2018,"Zieme, Thiel and Corwin",$2.94,$24.71
36,Shallots,GG87CR6628U4QS0Q,8/9/2018,Hyatt-Friesen,$9.02,$11.66
39,Potatoes - Yukon Gold 5 Oz,600EM7H898DLUJ7V,8/7/2018,"Hane, Boyer and Fay",$3.03,$17.29
38,Table Cloth 54x54 White,78Q4BLM2NJGM0OZ7,8/7/2018,Hand LLC,$7.71,$12.72
46,"Cheese - Boursin, Garlic / Herbs",61OF39512V162977,8/9/2018,"Stracke, Hermiston and Grimes",$5.27,$18.51
10,Venison - Liver,GS4Q2XS60A3G2081,8/8/2018,"Koss, Bednar and Breitenberg",$6.77,$14.30
54,Skirt - 24 Foot,FS08M91DR2E791J8,8/9/2018,Shields LLC,$4.43,$20.41
86,"Lemonade - Mandarin, 591 Ml",8A0WNVP3MV105786,8/8/2018,Torp-Schaefer,$3.81,$22.41
36,Tahini Paste,QKA65AM2G46A9P2Y,8/8/2018,Rogahn and Sons,$7.14,$20.61
24,Muffins - Assorted,5X4QI8QFXGOO0OLK,8/8/2018,Marquardt-Ruecker,$3.23,$10.93
94,Carbonated Water - Lemon Lime,O42PMHAZ9O971GFF,8/9/2018,"Bergstrom, McDermott and Kulas",$9.22,$11.84
11,Puree - Guava,XLM6Z494CIS94532,8/9/2018,"Streich, Hayes and Gibson",$3.84,$23.09
92,Bread Bowl Plain,YUDD93782076XLR7,8/9/2018,Jacobi Inc,$3.24,$23.38
77,Turnip - Wax,P8EXMZ1145E05425,8/8/2018,"Schinner, Hamill and Monahan",$2.46,$15.96
47,Table Cloth 91x91 Colour,765V6853H1147508,8/9/2018,"Pollich, Hegmann and Trantow",$1.61,$18.71
34,Pepper - Chili Powder,C9LA08DPTBF54PW5,8/7/2018,Farrell and Sons,$8.98,$13.38
26,Island Oasis - Strawberry,8YR3SZO89V10QDEZ,8/9/2018,Kunze-Watsica,$4.29,$11.18
45,Squid - Tubes / Tenticles 10/20,3H50P9X7CS6TCZ89,8/7/2018,"Kemmer, White and Murazik",$4.29,$21.84
89,"Crab - Back Fin Meat, Canned",GZP45Q4W4210I1KU,8/9/2018,Herzog and Sons,$4.08,$12.72
5,Sausage - Liver,34EF178A0AFL19DR,8/8/2018,"Stehr, Kulas and Hand",$0.58,$12.51
7,Orange Roughy 4/6 Oz,GDE76S08WV68668Z,8/8/2018,Hettinger-Hermann,$3.35,$19.22
13,"Cheese - Havarti, Roasted Garlic",882I695HU6222Z08,8/8/2018,Beatty LLC,$9.83,$15.75
82,Jolt Cola,389L6K9DK0B10ELU,8/7/2018,Weissnat Group,$3.73,$21.38
76,Wine - Cabernet Sauvignon,0350T45K1E26D649,8/8/2018,"Sanford, Schuster and Stroman",$1.01,$24.59
32,Gatorade - Fruit Punch,B4Y5EF5354EC2218,8/9/2018,"Carter, Howell and Beahan",$5.27,$20.62
84,Eggroll,365M6HI71HG1XQBO,8/7/2018,Stamm-Koss,$3.32,$13.61
62,Nut - Macadamia,AHU8IM1Y8OTGE7NZ,8/7/2018,Zboncak-Harris,$1.41,$14.59
22,Nantuket Peach Orange,4XVW59SCI1CW9QZ4,8/7/2018,"Hayes, Rosenbaum and Feil",$2.49,$17.10
60,Cheese - Wine,S11SG0SOD22CX48T,8/8/2018,"Konopelski, Schimmel and Mertz",$4.32,$12.48
48,Capers - Ox Eye Daisy,N8AX51WWD45UE56S,8/9/2018,Streich-Graham,$2.44,$10.31
43,Beer - True North Strong Ale,9R287364U8J8478B,8/7/2018,"Hansen, Morissette and Rogahn",$7.78,$19.30
93,"Chicken - Base, Ultimate",1W42H35UI6O2DWC6,8/9/2018,"Simonis, Hyatt and Gusikowski",$3.27,$20.21
64,Dill Weed - Fresh,M0P2ZM993MO5PR9Z,8/8/2018,Sawayn-Kihn,$8.93,$23.32
20,Wine - Magnotta - Bel Paese White,1G051RSJO5238H3Z,8/9/2018,"Dach, Schoen and Shields",$5.07,$21.80
20,"Crush - Grape, 355 Ml",8C9SYA946J26KS4I,8/8/2018,"Crona, D'Amore and Towne",$0.20,$16.76
9,"Pail - 15l White, With Handle",MTP0LG4K2Y64AHC5,8/8/2018,Romaguera-Herman,$9.32,$16.39
22,Muffin Batt - Carrot Spice,L1NJT48UP10TB0L8,8/8/2018,Schimmel-Gutmann,$0.48,$11.44
17,Beans - Fava Fresh,6L2P9KVMVN383X2E,8/7/2018,Beer-Dach,$0.19,$20.11
73,Veal - Inside,2AJQ9399W928665E,8/8/2018,"Mayer, Aufderhar and Fadel",$2.62,$15.79
38,Dish Towel,967ZFHKQIBAWTEA0,8/8/2018,Aufderhar and Sons,$7.39,$13.56
62,Sauce - Mint,6RJ69I5Z04628T3H,8/9/2018,Smitham-Douglas,$9.99,$14.67
70,Icecream - Dibs,JOO848U0TB05B0HM,8/7/2018,Jakubowski-Strosin,$9.17,$10.43
37,Apple - Granny Smith,X97G51X03QBV27S7,8/8/2018,"Rath, Pacocha and Bogisich",$6.63,$20.74
32,Container - Clear 16 Oz,30SEJ0W3O1S2YZ26,8/7/2018,Haag LLC,$7.97,$19.09
19,Beets,Q4VX6425Z0MA2714,8/8/2018,"Kub, Weber and Hartmann",$4.60,$10.15
45,"Cherries - Bing, Canned",660G12S2743T4T2K,8/7/2018,"Brown, Kutch and Kunde",$2.38,$10.22
61,Dish Towel,FPZ9U107K6D02L0H,8/7/2018,Smith-Emmerich,$1.93,$19.84
54,Beef - Prime Rib Aaa,D76H72242OO9P61N,8/8/2018,"Nitzsche, Boyer and Yundt",$5.25,$13.14
84,Oats Large Flake,M070TK6CF18SEJ97,8/8/2018,Konopelski Inc,$8.79,$23.43
7,Bag Stand,2V6K2SMD2385DF6K,8/9/2018,Breitenberg-Paucek,$8.28,$18.78
94,Tray - 12in Rnd Blk,Q96R1YT9JNCCK6JP,8/9/2018,"Schmidt, Schamberger and Muller",$8.60,$21.26
48,Onions - Cippolini,8I1V3Y2WQ6N5P86V,8/7/2018,Shields Inc,$6.69,$24.41
77,Table Cloth 54x54 Colour,1X8O5JJ95H93Z6Z5,8/7/2018,Jacobi-Hamill,$3.77,$23.37
4,Juice - Lime,SE92FFE17004A7O8,8/9/2018,"Berge, Lueilwitz and Altenwerth",$8.11,$10.43
33,Tea - Lemon Green Tea,633TFQJ0V4V0H01E,8/9/2018,"Schinner, Spinka and Leuschke",$3.31,$19.06
47,Yogurt - Assorted Pack,380VKILR2ZIGZ16A,8/7/2018,Lueilwitz LLC,$6.65,$16.72
53,Kellogs Cereal In A Cup,ZVDE5CE25W6MY4LI,8/9/2018,"Turcotte, Moen and Ratke",$7.97,$16.92
78,Table Cloth 53x69 White,19Q006957SB4FN58,8/9/2018,Wilderman-Leuschke,$5.55,$20.65
83,"Pineapple - Canned, Rings",G962675AMD8OOL2K,8/7/2018,Ferry-Mertz,$1.25,$17.17
28,Glycerine,Y800C4O721683755,8/7/2018,Schowalter-Yundt,$6.10,$18.88
10,"Gingerale - Schweppes, 355 Ml",L027JEAZ0TI00B8W,8/7/2018,Ratke-Rath,$2.78,$11.26
30,Truffle Shells - White Chocolate,W58OWIYH2BU8HF57,8/8/2018,"Ortiz, Adams and Kub",$4.00,$13.34
66,Tart - Raisin And Pecan,534O348JIDHVP9TD,8/8/2018,"O'Keefe, Kris and McClure",$4.74,$14.00
38,"Lamb - Pieces, Diced",AQ9S35U342BG1190,8/7/2018,"Schinner, Thompson and Turner",$8.73,$12.32
91,Persimmons,Y17E2131C31J6N4L,8/9/2018,West and Sons,$2.81,$19.34
42,Turkey Tenderloin Frozen,CP48TZTLJ1F4O1HW,8/7/2018,"Gleichner, Bode and Kozey",$7.69,$12.00
27,Soupfoamcont12oz 112con,0OZ02S760KMAZ78R,8/7/2018,Sporer LLC,$5.15,$15.32
5,Melon - Cantaloupe,85FOF083S6V2ZN5Z,8/7/2018,Mohr-Walker,$7.38,$11.74
60,Lamb - Ground,UFB0M557423N0HC1,8/8/2018,Lind Inc,$3.04,$16.96
5,Beer - Upper Canada Lager,YK6N9PAL861219X8,8/9/2018,"Funk, Deckow and Crooks",$5.46,$13.82
73,Wine - Ej Gallo Sierra Valley,TUZ0E81WT9W90309,8/8/2018,"Koepp, Zieme and Zieme",$6.01,$12.58
18,Muffin Hinge Container 6,4WJ0C74Z1A5A2IOX,8/7/2018,Fadel-Franecki,$5.32,$18.53
47,Sprouts - Onion,XA5N025VZ9T7J9DV,8/7/2018,Denesik-Barton,$3.94,$15.86
79,Bread - Petit Baguette,8342SJ46MP6M290M,8/9/2018,"Schuppe, Muller and Lakin",$1.21,$12.04
65,Veal - Slab Bacon,2906BEOC30WR53UQ,8/8/2018,Reilly-Murray,$8.50,$17.67
40,Wine - Magnotta - Belpaese,7B175MU2TANSZ1GH,8/9/2018,"Williamson, Carroll and Flatley",$0.84,$23.84
97,Soup - Campbells Asian Noodle,1WA63OZT7VS022YJ,8/7/2018,Schmitt LLC,$9.05,$18.17
49,Grand Marnier,D824OL1496SI5D26,8/7/2018,Hartmann-Predovic,$6.09,$10.35
96,Bread - Hamburger Buns,NL871YAXS1726260,8/8/2018,"Dietrich, Considine and Zulauf",$1.14,$18.12
3,Drambuie,531B8Q8EW9B77VK0,8/7/2018,Shields-Botsford,$1.04,$19.32
72,"Wine - White, Schroder And Schyl",DG6NCQ35363D1GU9,8/7/2018,"Boehm, Cronin and Schmitt",$6.44,$18.97
71,Isomalt,JUKH6K522SWMF1BS,8/8/2018,Thiel-Hirthe,$5.26,$17.28
42,"Pasta - Lasagne, Fresh",71P9V685BBUVH75W,8/9/2018,Wuckert-Lowe,$5.44,$21.89
81,"Basil - Primerba, Paste",L930E66ZUG61A9U7,8/9/2018,Lang Inc,$0.18,$14.22
86,Tea - Herbal Sweet Dreams,BORYC6BL9MLUR720,8/8/2018,Gaylord LLC,$9.94,$21.35
14,Red Currant Jelly,P4K0Q0AA68JYM1G9,8/8/2018,Kunde-Schumm,$4.20,$22.43
96,"Veal - Chops, Split, Frenched",W3I84B0DNIXM08OR,8/7/2018,Effertz-Price,$9.54,$15.54
35,Pepper - Chilli Seeds Mild,7LK40S762Z000WUJ,8/7/2018,Carroll LLC,$5.86,$20.28
94,Tart - Pecan Butter Squares,1V3793S6X5CWJDL3,8/7/2018,Botsford LLC,$2.60,$19.02
17,Lettuce - Curly Endive,25C771NATMX48S1T,8/8/2018,"Tromp, Adams and Langosh",$1.34,$23.53
45,"Salmon - Smoked, Sliced",6CN2Q5T5YI00PG2V,8/8/2018,Brekke Group,$6.58,$13.92
35,Soup Campbells Mexicali Tortilla,3203BG832TEE1ZOT,8/9/2018,Bode-Quigley,$5.87,$23.30
79,Oil - Hazelnut,4YJD9C63QO59HKIE,8/9/2018,Welch LLC,$6.21,$18.81
9,Tea - Earl Grey,05H48W983637991I,8/8/2018,Boyer Group,$8.30,$16.07
35,Mince Meat - Filling,Q8VB20HF3ONHLX74,8/8/2018,Schinner-Walter,$0.99,$11.16
98,Ecolab - Solid Fusion,38ZW5M6172579A04,8/9/2018,Barton Group,$4.96,$17.63
40,Nantucket - Orange Mango Cktl,3Y83I9MRU36B9BCG,8/8/2018,O'Hara and Sons,$5.63,$21.90
45,Glycerine,AGA46913108C3R2H,8/8/2018,Kreiger LLC,$7.05,$19.46
32,Pastry - Apple Muffins - Mini,1I9U0FL21OA6U060,8/8/2018,Pagac and Sons,$8.13,$16.41
59,Chinese Foods - Thick Noodles,X3HJ8FO25O7EY1J3,8/7/2018,"Schneider, McGlynn and Hammes",$7.00,$24.99
95,Shrimp - Black Tiger 13/15,E2OEFF4MPI6DQ2B3,8/8/2018,"McGlynn, Barton and Toy",$1.88,$13.47
32,Table Cloth 81x81 Colour,87LA28G3AKFJ1QQ3,8/7/2018,Wunsch-Kozey,$5.58,$23.43
92,Juice - Ocean Spray Kiwi,5WN31NIMX0WOQYS7,8/9/2018,Kozey-Padberg,$7.86,$23.98
27,Truffle Cups - Red,6Q5267CY4O1WL39L,8/8/2018,"Jaskolski, Cremin and Brakus",$6.65,$13.26
